ID,Location,Area,Bedroom,Bathroom,Frontage,Floors,Price
268476,"Quận 3, TP Hồ Chí Minh",35,2.0,1.0,0,2.0,75 tỷ
268474,"Quận 9, TP Hồ Chí Minh",88,3.0,2.0,0,4.0,6.5 tỷ
268472,"Hoàng Mai, Hà Nội",30,3.0,4.0,1,5.0,3.99 tỷ
268468,"Quận 12, TP Hồ Chí Minh",60,2.0,2.0,0,2.0,4 tỷ
268466,"Tân Bình, TP Hồ Chí Minh",27,2.0,2.0,1,3.0,2.85 tỷ
268465,"Cầu Giấy, Hà Nội",45,,,1,5.0,6.5 tỷ
268464,"Quận 12, TP Hồ Chí Minh",60,2.0,2.0,0,2.0,5 tỷ
268463,"Quận 12, TP Hồ Chí Minh",53,2.0,3.0,0,2.0,4 tỷ
268462,"Quận 12, TP Hồ Chí Minh",64,3.0,3.0,0,3.0,4 tỷ
268460,"Quận 12, TP Hồ Chí Minh",60,2.0,2.0,0,,4 tỷ
268458,"Quận 11, TP Hồ Chí Minh",65,,,1,,4.8 tỷ
268457,"Hà Đông, Hà Nội",36,4.0,,0,4.0,2.7 tỷ
268456,"Tân Phú, TP Hồ Chí Minh",38,2.0,2.0,0,2.0,4.1 tỷ
268455,"Hà Đông, Hà Nội",35,4.0,,0,4.0,3.4 tỷ
268454,"Hà Đông, Hà Nội",51,,,0,,4.95 tỷ
268453,"Hà Đông, Hà Nội",35,4.0,2.0,0,4.0,6.65 tỷ
268452,"Hà Đông, Hà Nội",49,4.0,,0,4.0,5.8 tỷ
268451,"Hà Đông, Hà Nội",57,,,0,7.0,9.1 tỷ
268450,"Hà Đông, Hà Nội",38,4.0,,1,5.0,5.3 tỷ
268449,"Hà Đông, Hà Nội",93,,,0,4.0,7.85 tỷ
268448,"Hà Đông, Hà Nội",30,2.0,,0,23.0,2.75 tỷ
268447,"Hà Đông, Hà Nội",30,2.0,,0,23.0,2.75 tỷ
268446,"Nam Từ Liêm, Hà Nội",65,3.0,,1,,7.3 tỷ
268444,"Cầu Giấy, Hà Nội",40,4.0,5.0,1,6.0,5500 tỷ
